current_group,arteries,bones,brain,cartilage,ear,eyes,glands,heart,ligaments,lungs,muscles,nerves,organs,skin_hair,teeth,veins
arteries,673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bones,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brain,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0
cartilage,0,21,0,38,0,0,0,0,0,0,0,0,0,0,0,0
ear,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
eyes,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0
glands,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
heart,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
ligaments,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
lungs,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0
muscles,0,0,0,0,0,0,0,0,0,0,382,0,0,0,0,0
nerves,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0
organs,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
skin_hair,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
teeth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
veins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341
