entry_uid,current_group,new_group,label_en
fma13501__FJ3203.glb,ligaments,cartilage,Intervertebral disk of fourth thoracic vertebra
fma13502__FJ3204.glb,ligaments,cartilage,Intervertebral disk of fifth thoracic vertebra
fma13503__FJ3205.glb,ligaments,cartilage,Intervertebral disk of sixth thoracic vertebra
fma13504__FJ3206.glb,ligaments,cartilage,Intervertebral disk of seventh thoracic vertebra
fma13505__FJ3207.glb,ligaments,cartilage,Intervertebral disk of eighth thoracic vertebra
fma13506__FJ3208.glb,ligaments,cartilage,Intervertebral disk of ninth thoracic vertebra
fma13507__FJ3209.glb,ligaments,cartilage,Intervertebral disk of tenth thoracic vertebra
fma13508__FJ3210.glb,ligaments,cartilage,Intervertebral disk of eleventh thoracic vertebra
fma16033__FJ3212.glb,ligaments,cartilage,Intervertebral disk of first lumbar vertebra
fma13896__FJ3213.glb,ligaments,cartilage,Intervertebral disk of third cervical vertebra
fma16034__FJ3214.glb,ligaments,cartilage,Intervertebral disk of second lumbar vertebra
fma16035__FJ3215.glb,ligaments,cartilage,Intervertebral disk of third lumbar vertebra
fma16036__FJ3216.glb,ligaments,cartilage,Intervertebral disk of fourth lumbar vertebra
fma16037__FJ3217.glb,ligaments,cartilage,Intervertebral disk of fifth lumbar vertebra
fma13897__FJ3218.glb,ligaments,cartilage,Intervertebral disk of fourth cervical vertebra
fma13898__FJ3219.glb,ligaments,cartilage,Intervertebral disk of fifth cervical vertebra
fma13899__FJ3220.glb,ligaments,cartilage,Intervertebral disk of sixth cervical vertebra
fma13900__FJ3221.glb,ligaments,cartilage,Intervertebral disk of seventh cervical vertebra
fma10458__FJ3222.glb,ligaments,cartilage,Intervertebral disk of first thoracic vertebra
fma13495__FJ3223.glb,ligaments,cartilage,Intervertebral disk of second thoracic vertebra
fma13500__FJ3224.glb,ligaments,cartilage,Intervertebral disk of third thoracic vertebra
fma8612__FJ2966.glb,lungs,heart,Pulmonary trunk
fma52734__FJ3200.glb,brain,bones,Frontal bone
fma24508__FJ3241.glb,eyes,bones,Left first metatarsal bone
fma24510__FJ3244.glb,eyes,bones,Left second metatarsal bone
fma24512__FJ3247.glb,eyes,bones,Left third metatarsal bone
fma24514__FJ3250.glb,eyes,bones,Left fourth metatarsal bone
fma24516__FJ3253.glb,eyes,bones,Left fifth metatarsal bone
fma53646__FJ3265.glb,eyes,bones,Left lacrimal bone
fma52789__FJ3274.glb,brain,bones,Left parietal bone
fma52739__FJ3281.glb,brain,bones,Left temporal bone
fma52735__FJ3309.glb,brain,bones,Occipital bone
fma24507__FJ3351.glb,eyes,bones,Right first metatarsal bone
fma24509__FJ3353.glb,eyes,bones,Right second metatarsal bone
fma24511__FJ3355.glb,eyes,bones,Right third metatarsal bone
fma24513__FJ3357.glb,eyes,bones,Right fourth metatarsal bone
fma24515__FJ3359.glb,eyes,bones,Right fifth metatarsal bone
fma53645__FJ3371.glb,eyes,bones,Right lacrimal bone
fma52788__FJ3380.glb,brain,bones,Right parietal bone
fma52738__FJ3386.glb,brain,bones,Right temporal bone
fma7247__FJ2417.glb,lungs,heart,Left anterior cusp of pulmonary valve
fma7250__FJ2427.glb,lungs,heart,Posterior cusp of pulmonary valve
fma7249__FJ2434.glb,lungs,heart,Right anterior cusp of pulmonary valve
