entry_uid,new_group
fma13505__FJ3207.glb,cartilage
fma13508__FJ3210.glb,cartilage
fma13898__FJ3219.glb,cartilage
fma16037__FJ3217.glb,cartilage
fma13502__FJ3204.glb,cartilage
fma16033__FJ3212.glb,cartilage
fma10458__FJ3222.glb,cartilage
fma13897__FJ3218.glb,cartilage
fma16036__FJ3216.glb,cartilage
fma13501__FJ3203.glb,cartilage
fma13506__FJ3208.glb,cartilage
fma16034__FJ3214.glb,cartilage
fma13495__FJ3223.glb,cartilage
fma13900__FJ3221.glb,cartilage
fma13504__FJ3206.glb,cartilage
fma13899__FJ3220.glb,cartilage
fma13503__FJ3205.glb,cartilage
fma13507__FJ3209.glb,cartilage
fma13896__FJ3213.glb,cartilage
fma16035__FJ3215.glb,cartilage
fma13500__FJ3224.glb,cartilage
